Alimento;Unidad individual;Peso unitario individual;Porción comestible;Energía (kcal/100 g);Proteína (g/100 g);Lípidos totales (g/100 g);AG Saturados (g/100 g);Colesterol (g/100 g);Hidratos de Carbono ((g/100 g);Azúcar (g/100 g);Fibra (g/100 g);Na, Sodio [mg/100 g];Subgrupo
Gelatina de manzana;cucharada;16;1;62;1.2;0;0;0;14.2;13.5;0;75;Azúcares sin grasa
Gelatina de mora azul;cucharada;16;1;62;1.2;0;0;0;14.2;13.5;0;75;Azúcares sin grasa
Gelatina de naranja;cucharada;16;1;62;1.2;0;0;0;14.2;13.5;0;75;Azúcares sin grasa
Gelatina de nuez de leche;cucharada;16;1;95.9;4.4;2.4;1.5;0;14.2;14.2;0;48.5;Azúcares sin grasa
Gelatina de piña;cucharada;16;1;62;1.2;0;0;0;14.2;13.5;0;75;Azúcares sin grasa
Gelatina de pistache;cucharada;16;1;95.9;4.3;2.4;1.5;0;14.2;14.2;0;48.4;Azúcares sin grasa
Gelatina de rompope;cucharada;16;1;95.9;4.3;2.4;1.5;0;14.2;14.2;0;48.4;Azúcares sin grasa
Gelatina de sabor en polvo;g;1;1;381.2;7.8;0;0;0;90.6;86;0;466;Azúcares sin grasa
Gelatina de uva;cucharada;16;1;62;1.2;0;0;0;14.2;13.5;0;75;Azúcares sin grasa
Gelatina de vainilla;cucharada;16;1;95.9;4.3;2.4;1.5;0;14.2;14.2;0;48.4;Azúcares sin grasa
Gelatina de vainilla de leche;cucharada;16;1;95.9;4.3;2.4;1.5;0;14.2;14.2;0;48.4;Azúcares sin grasa
Gelatina de zarzamora;cucharada;16;1;62;1.2;0;0;0;14.2;13.5;0;75;Azúcares sin grasa
Gelatina en polvo para agua;g;1;1;381.2;7.8;0;0;0;90.6;86;0;466;Azúcares sin grasa
Gelatina en polvo para leche;g;1;1;381.2;7.8;0;0;0;90.6;86;0;466;Azúcares sin grasa
Gelatina preparada;cucharada;16;1;62;1.2;0;0;0;14.2;13.5;0;75;Azúcares sin grasa
Gomilocas de Hamburguesa;bolsa;56;1;312;4;0;0;0;74;52;0;0;Azúcares sin grasa
Gomilocas pingüino;bolsa;56;1;320;6;0;0;0;74;52;0;0;Azúcares sin grasa
Gomitas;pieza;3;1;348;4.3;0.3;0;0;84.7;59;0.3;0;Azúcares sin grasa
Gomitas con azúcar;pieza;15;1;290;2.5;0;0;0;70;67.5;0;47.5;Azúcares sin grasa
Gomitas de aros de durazno ácidas;pieza;8;1;362;6;0;0;0;84;42;0;28;Azúcares sin grasa
Gomitas de aros de manzana ácidas;pieza;8;1;320;7.5;0;0;0;72.5;65;0;35;Azúcares sin grasa
Gomitas de Coca Cola;pieza;4;1;320;7.5;0;0;0;72.5;65;0;35;Azúcares sin grasa
Gomitas de guanábana;pieza;4;1;312.5;3.1;0;0;0;71.8;65.6;0;46.8;Azúcares sin grasa
Gomitas de gusano (lombriz brillante);pieza;8;1;300;2.5;0;0;0;72.5;65;0;47.5;Azúcares sin grasa
Gomitas de pingüinos;bolsa;56;1;320;6;0;0;0;74;52;0;0;Azúcares sin grasa
Gomitas en forma de dientes (ricolino);bolsa;55;1;320;4;0;0;0;76;56;0;0;Azúcares sin grasa
Gomitas frutas enchiladas;pieza;8;1;320;5;0;0;0;75;72.5;0;675;Azúcares sin grasa
Gomitas mango Lucky;pieza;8;1;400;0;0;0;0;87.5;75;0;53.1;Azúcares sin grasa
Granadina;cucharada;15;1;268;0;0;0;0;66.9;46.6;0;27;Azúcares sin grasa
Huevitos de chocolate confitado;gramos;1;1;400;4;6;6;0;84;72;4;80;Azúcares sin grasa
Inulina de agave;cucharadita;5;1;400;0;0;0;0;100;4.7;95.3;1200;Azúcares sin grasa
Jalea;cucharadita;6.66;1;312;0.1;0.1;0;0;80.3;48.5;0;25;Azúcares sin grasa
Jalea Molecular varios sabores;cucharadita;6;1;219;3;0;0;0;60;50;1;0;Azúcares sin grasa
Jarabe de chocolate;cucharada;18.5;1;279;2.1;1.1;0.5;0;65.1;49.7;2.6;72;Azúcares sin grasa
Jarabe de fresa;cucharada;15;1;266.6;0;0;0;0;63.3;63.3;0;0;Azúcares sin grasa
Jarabe de mango;cucharada;15;1;300;0;0;0;0;76.6;76.6;0;0;Azúcares sin grasa
Jarabe de sabor para preparar agua;cucharada;17;1;240;0;0.3;0;0;65.9;0;0;0;Azúcares sin grasa
Jarabe Nuez de Macadamia;cucharada;15;1;300;0;0;0;0;76.7;76.7;0;133.3;Azúcares sin grasa
"Jarabe sabor ""fresa""";cucharada;15;1;266.6;0;0;0;0;63.3;63.3;0;0;Azúcares sin grasa
Jarabe sabor amareto;cucharada;15;1;266.6;0;0;0;0;63.3;63.3;0;0;Azúcares sin grasa
Jarabe sabor arándano azul;cucharada;15;1;266.6;0;0;0;0;63.3;63.3;0;0;Azúcares sin grasa
Jarabe sabor chocolate blanco;cucharada;15;1;266.6;0;0;0;0;63.3;63.3;0;150;Azúcares sin grasa
Jarabe sabor Irlandés;cucharada;15;1;300;0;0;0;0;76.7;73.3;0;0;Azúcares sin grasa
Jarabe sabor menta fresca;cucharada;15;1;266.6;0;0;0;0;63.3;63.3;0;0;Azúcares sin grasa
Jarabe sabor vainilla;cucharada;15;1;266.6;0;0;0;0;66.6;66.6;0;0;Azúcares sin grasa
Jolly rancher;pieza;6;1;386.7;0;0;0;0;96.7;73.3;0;100;Azúcares sin grasa
Jugo Ades de naranja;Tetra pack chico;200;1;24.5;0.6;0.5;0.1;0;4.5;3.7;0.4;11.5;Azúcares sin grasa
Jugo de caña de azúcar;taza;240;1;84;0.3;0.1;0;0;20.5;20.5;0.4;ND;Azúcares sin grasa
Jugo de ciruela pasa;taza;256;1;71;0.6;0;0;0;17.5;16.5;1;4;Azúcares sin grasa
Jugo de cítricos preparado con agua;taza;240;1;46;0.3;0;0;0;11.5;8.1;0.1;4;Azúcares sin grasa
Jugo de fruta concentrado;g;1;1;223;4.1;1.3;0;0;50.7;50;0.5;5;Azúcares sin grasa
Jugo de frutas;taza;240;1;50;0;0;0;0;12.5;12.5;0;66.7;Azúcares sin grasa
Jugo de zanahoria,   manzana y 3 frutas cítricas;taza;240;1;48.3;0;0;0;0;12.1;11.3;0;8;Azúcares sin grasa
Jugo Natural´es de Lala;pieza;125;1;22;0.4;0;ND;ND;5.2;5.2;0;3;Azúcares sin grasa
Kombucha;taza;240;1;32;0;0;0;0;8;1;0;0;Azúcares sin grasa
Leche condensada;cucharadita;5.6;1;321.1;7.9;8.7;5.5;34.2;54.4;54.4;0;127;Azúcares sin grasa
Leche condensada light;cucharada;16;1;280;8.8;0.5;0;0;60;60;ND;105;Azúcares sin grasa
Leche condensada untable;cucharada;15;1;319;6.7;8.5;5.5;0;54;54;0;110;Azúcares sin grasa
Leche en polvo sabor chocolate con malbavisco;cucharada;7;1;400;4.6;2.3;2.3;0;90.3;81.8;4.5;136;Azúcares sin grasa
Leche en polvo sabor fudge de chocolate;cucharada;7;1;400;4.6;2.3;2.3;0;90.3;81.8;4.5;136;Azúcares sin grasa
Lechera tres leches;cucharadita;6;1;150;4;4;3;0;24.4;23.4;0;125;Azúcares sin grasa
Lucas Muecas sabor cereza;pieza;25;1;333.3;0;0;0;0;83.3;58.3;0;4666;Azúcares sin grasa
Malvavisco;pieza;7;1;318;1.8;0.2;0.1;0;81.3;57.6;0.1;80;Azúcares sin grasa
Malvavisco miniatura;pieza;0.7;1;318;1.8;0.2;0.1;0;81.3;57.6;0.1;80;Azúcares sin grasa
Manzana Lift;lata;355;1;40;0;0;0;0;10;10;0;15;Azúcares sin grasa
Melaza;cucharadita;5;1;285;0;0.1;0;0;71;71;0;49;Azúcares sin grasa
Mentas de caramelo;pieza;1.7;1;400;0;0;0;0;100;100;0;0;Azúcares sin grasa
Mentos frutal;pieza;2.7;1;370.3;0;0;0;0;95.6;74;0;0;Azúcares sin grasa
Mentos menta;pieza;2.7;1;370.3;0;0;0;0;95.6;74;0;0;Azúcares sin grasa
Mentos sour mix;pieza;2.7;1;370.3;0;0;0;0;92.6;74;0;0;Azúcares sin grasa
"Merengue ""duro""";pieza pequeña;1;1;378;1.7;0.1;ND;ND;92.6;92.6;ND;ND;Azúcares sin grasa
Mermelada;cucharadita;6.66;1;245;0.5;0.3;ND;ND;60;48.5;0.5;1;Azúcares sin grasa
Mermelada con fructosa;cucharada;17;1;94.1;0;0;0;0;23.5;23.5;0;117.6;Azúcares sin grasa
Mermelada de blueberry;cucharada;15;1;250;0;0;0;0;65;50;0;25;Azúcares sin grasa
Mermelada de chabacano;cucharada;15;1;250;0;0;0;0;65;50;0;25;Azúcares sin grasa
Mermelada de durazno;cucharada;15;1;250;0;0;0;0;65;50;0;25;Azúcares sin grasa
Mermelada de frambuesa;cucharada;15;1;250;0;0;0;0;65;50;0;25;Azúcares sin grasa
Mermelada de fresa;cucharada;15;1;250;0;0;0;0;65;50;0;25;Azúcares sin grasa
Mermelada de fruta,  menos azúcar;cucharada;15;1;133;0;0;0;0;33;33;0;0;Azúcares sin grasa
Mermelada de naranja;cucharada;15;1;250;0;0;0;0;65;50;0;25;Azúcares sin grasa
Mermelada de pera;cucharada;15;1;250;0;0;0;0;65;50;0;25;Azúcares sin grasa
Mermelada de zarzamora;cucharada;15;1;250;0;0;0;0;65;50;0;25;Azúcares sin grasa
Miel;cucharadita;7;1;304;0.3;0;0;0;82.4;82.1;0.2;4;Azúcares sin grasa
Miel de abeja;cucharadita;7;1;304;0.3;0;0;0;82.4;82.1;0.2;4;Azúcares sin grasa
Miel de agave;cucharadita;6;1;309.5;0;0;0;0;76.1;66.6;0;0;Azúcares sin grasa
Miel de caña;cucharadita;6;1;294;0.5;0.2;0;0;72.6;72.6;0;ND;Azúcares sin grasa
Miel de maíz;cucharadita;6;1;300;0;0;0;0;75;75;0;68;Azúcares sin grasa
Miel o jarabe sabor maple;cucharadita;6;1;261;0;0.2;0;0;67.1;59.5;0;9;Azúcares sin grasa
Miguelito en polvo;sobre;4;1;140;2;0;0;0;22;0;8.4;26800;Azúcares sin grasa
Miguelito líquido;sobre;10;1;40;0;0;0;0;10;10;0;2400;Azúcares sin grasa
Monster Energy *;lata;480;1;75;0;0;0;0;11.5;11.5;0;75;Azúcares sin grasa
Mousse de chocolate sin grasa;taza;200;1;93;1.9;0.3;0;1;20.9;15.8;0.3;110;Azúcares sin grasa
Néctar de fruta;taza;250;1;60;0.1;0;0;0;15.8;15.2;0.6;4;Azúcares sin grasa
Nesquik de chocolate (en polvo);cucharadita;5;1;359;3.5;2.1;1.9;0;81.4;80;5;175;Azúcares sin grasa
Nesquik de fresa (en polvo);cucharadita;5;1;352;0;0;0;0;88;70;6.5;47;Azúcares sin grasa
Nesquik de vainilla (en polvo);cucharadita;5;1;356;0;0;0;0;89;70;6.5;49;Azúcares sin grasa
Nestea (en polvo);cucharadita;2.5;1;360;1.2;0;0;0;90;6;1.2;985.2;Azúcares sin grasa
Nieve de frutas;g;1;1;101;0.5;0.2;ND;ND;24.2;24.2;ND;0;Azúcares sin grasa
Nieve de limón;bola;68.4;1;128;0.4;0;0;0;32.6;32.6;0;22;Azúcares sin grasa
Obleas de cajeta;pieza chica;7;1;428.6;9.5;9.5;0;0;76.2;76;0;219;Azúcares sin grasa
Paleta de caramelo;pieza;6;1;366.7;0;0;0;0;98.3;98.3;0;0;Azúcares sin grasa
Paleta helada de agua;pieza;52;1;79;0;0.2;0;0;19.2;13.7;0;7;Azúcares sin grasa
Paleta helada de fruta;pieza;92;1;81.5;1.2;0.1;0;0;20.2;20.2;0;4.3;Azúcares sin grasa
Paleta helada de fruta sin azúcar;pieza;51;1;23.5;0.6;0.2;0;0;6.3;6.3;0;5.9;Azúcares sin grasa
Paleta helada de yogut sabor coco;pieza;70;1;135;2;2.6;1.7;ND;26;26;0.7;65;Azúcares sin grasa
Paleta tutsi pop;pieza;20;1;370;0;0;0;0;92.5;76;0;0;Azúcares sin grasa
Paletón Corona;pieza;25;1;350;5;7.5;5;0;70;55;0;75;Azúcares sin grasa
Panditas;bolsa;42.5;1;317.6;5.8;0;ND;ND;73.6;51.2;0.5;11.8;Azúcares sin grasa
Pasitas con chocolate;pieza;1;1;390;4.1;14.8;10.3;0;68.4;62.2;3.1;36;Azúcares sin grasa
Pastilla Halls Colors;pieza;2.8;1;392.8;0;0;0;0;96.4;64.2;0;0;Azúcares sin grasa
Pastilla Halls limón con Miel de abeja;pieza;2.8;1;383;0;0;0;0;95.7;95.7;0.4;1;Azúcares sin grasa
Pica Fresa;pieza;6;1;333.3;0;0;0;0;83.3;66.6;0;750;Azúcares sin grasa
Piloncillo;g;1;1;362;0;0;0;0;90.6;90.6;ND;30;Azúcares sin grasa
Piloncillo rallado;cucharada;10;1;362;0;0;0;0;90.6;90.6;ND;30;Azúcares sin grasa
Polen de abeja;cucharadita;5;1;400;20;10;0;0;60;0;0;0;Azúcares sin grasa
Ponche de frutas;taza;240;1;46;0.1;0;0;0;11.7;11.7;0.1;5;Azúcares sin grasa
Powerade frutas;botella mediana;600;1;24;0;0;0;0;6;6;0;18.4;Azúcares sin grasa
Powerade lima-limón;botella mediana;600;1;24;0;0;0;0;6;6;0;26.6;Azúcares sin grasa
Powerade mora;botella mediana;600;1;24;0;0;0;0;6;6;0;18;Azúcares sin grasa
Powerade naranja-mandarina;botella mediana;600;1;24;0;0;0;0;6;6;0;18.4;Azúcares sin grasa
Pudín de chocolate en polvo;cucharadita;5;1;362;2.6;2;1.2;0;89.3;42.9;4.5;479;Azúcares sin grasa
Pudín de coco en polvo;cucharadita;5;1;434;1;11.4;11.4;0;81.8;80.5;1.6;682;Azúcares sin grasa
Pudín de plátano en polvo;cucharadita;5;1;366;0;0.4;0;0;93;74.3;0.3;788;Azúcares sin grasa
Pudín de vainilla en polvo;cucharadita;5;1;379;0.3;0.4;0;0;93.5;79.3;0.6;635;Azúcares sin grasa
Pulparindo;pieza;14;1;346.4;1.4;0;0;0;85;74.2;5;857.1;Azúcares sin grasa
Queso de tuna;g;1;1;321;1.3;0;ND;ND;79;79;ND;ND;Azúcares sin grasa
Red Bull *;lata;250;1;45;0.3;0.1;0;0;10.9;10.1;0;84;Azúcares sin grasa
Refresco;lata;368;1;41;0;0;0;0;10.6;10.6;0;3.8;Azúcares sin grasa
Refresco de cola;lata;368;1;41;0;0;0;0;10.6;10.6;0;3.8;Azúcares sin grasa
Refresco de frutas;lata;355;1;50;0;0;0;0;12.5;12.5;0;66.7;Azúcares sin grasa
Refresco de limón;lata;355;1;33.6;0;0;0;0;8.4;8.4;0;16;Azúcares sin grasa
Refresco de mandarina;lata;355;1;34.4;0;0;0;0;8.6;8.4;0;8.6;Azúcares sin grasa
Refresco de manzana;lata;355;1;36.4;0;0;0;0;9.1;8.9;0;5.8;Azúcares sin grasa
Refresco de naranja;lata;355;1;49;0;0.2;0;0;12.1;10.6;0;12;Azúcares sin grasa
Refresco de piña;lata;355;1;34.4;0;0;0;0;8.6;8.4;0;5.9;Azúcares sin grasa
Refresco de tamarindo;lata;355;1;38.4;0;0;0;0;9.6;9.5;0;7.7;Azúcares sin grasa
Refresco de toronja;lata (355 ml);355;1;32;0;0;0;0;8;7.9;0;9;Azúcares sin grasa
Refresco de tutti fruti;lata;355;1;31.6;0;0;0;0;7.9;7.7;0;7.9;Azúcares sin grasa
Ring Pop;pieza;14;1;400;0;0;0;0;100;92.8;0;392.8;Azúcares sin grasa
Rollo de guayaba;gramos;1;1;308;0;0;0;0;76.5;58.8;0;65.5;Azúcares sin grasa
Runts Confitados;pieza;1.25;1;400;0;0;0;0;93.3;86.7;0;0;Azúcares sin grasa
Salsa agridulce;cucharada;16;1;150;0.3;0;0;0;38.2;18.8;0.1;371;Azúcares sin grasa
Salsa catsup;cucharada;15;1;97;1.7;0.3;0;0;25.3;22.8;0.3;1114;Azúcares sin grasa
Salsa chamoy;gramos;1;1;106.6;0;0;0;0;26.6;13.3;0;1126.6;Azúcares sin grasa
Salsa de anguila;cucharada;16;1;135.1;5.1;0.3;0;0;28;8.3;0.8;502.8;Azúcares sin grasa
Salsa de manzana;cucharada;16;1;263.2;0.8;0;0;0;66.8;44.7;0;231.6;Azúcares sin grasa
Salsa de tamarindo;g;1;1;159.6;1.4;2.6;1.5;6.9;35;13.8;2.4;526.1;Azúcares sin grasa
Salsa demiglass;taza;190;1;56.9;2.1;0.8;0.2;0.1;11.9;5.5;3.8;919;Azúcares sin grasa
Salsa Marinara comercial;cucharada;15;1;50;1.4;1.6;0.2;2;7.4;4.9;1.8;437;Azúcares sin grasa
Salsa para pizza comercial;cucharada;15;1;54;2.2;1.2;0.5;3;8.7;3.8;2;348;Azúcares sin grasa
Salsa teriyaki;cucharada;18;1;89;5.9;0;0;0;15.6;14.1;0.1;3833;Azúcares sin grasa
Sevillana;pieza pequeña (10g);10;1;410;10;10;10;0;70;50;0;120;Azúcares sin grasa
Sidral Mundet;lata;355;1;40;0;0;0;0;10;10;0;20;Azúcares sin grasa
Skittles;pieza;1;1;400;0;3.8;3.8;0;92.5;72.5;0;25;Azúcares sin grasa
Skwinkes clásicos;paquete;19.5;1;358.9;5.1;2.6;2.3;ND;82.8;51.2;5.1;769.2;Azúcares sin grasa
Skwinkles rellenos;paquete;26;1;384.6;3.8;3.8;2;0;80.8;53.8;0;923;Azúcares sin grasa
Sprite;lata;355;1;42;0;0;0;0;10.5;10.5;0;28.5;Azúcares sin grasa
Tamborines;pieza;4.5;1;355.5;0;0;0;0;88.8;88.8;0;777.7;Azúcares sin grasa
Tarugos;pieza;15;1;337;3;1;0;0;83;65;7;2322;Azúcares sin grasa
Té helado en polvo;cucharadita;2.55;1;401;0.1;0.7;0.1;0;98.6;95.3;0.7;5;Azúcares sin grasa
Vitamin water  XXX acaí-mora azul-granada;lata;340;1;22;0;0;0;0;5.5;5.5;0;0;Azúcares sin grasa
Vitamin water Energy Cítrico tropical;lata;340;1;22;0;0;0;0;5.5;5.5;0;0;Azúcares sin grasa
Vitamin water Restore Ponche de frutas;lata;340;1;22;0;0;0;0;5.5;5.5;0;0;Azúcares sin grasa
Yakult;envase;849.296;1;55;1;0;ND;ND;12.7;12.7;0;ND;Azúcares sin grasa
Yakult 40 LT;envase;849.296;1;30;1;0;ND;ND;8.4;5.6;2.8;ND;Azúcares sin grasa
Alitas de pollo;pieza;35;1;265;23.1;18.4;5.1;137;0;0;0;402;AOAA
Alitas de pollo enchiladas;pieza;35;1;237.2;23.1;18.4;5.9;133.8;8.5;0;0;491.5;AOAA
Alón de pollo con piel cocido;pieza;98;1;229;22.8;16.8;4.7;70;0;0;0;67;AOAA
Alón de pollo con piel crudo;pieza;95;1;222;18.3;16;4.5;77;0;0;0;73;AOAA
Añejo tipo cotija;cucharada;12;1;291;28.2;33.2;0;85;1.3;0;0;0;AOAA
Carne de res semigrasosa;g;1;1;257;18.3;19.8;8.5;69;0;0;0;59;AOAA
Carne molida popular de res;g;1;1;297;16;25.4;10.1;74;0;0;0;59;AOAA
Carne molida regular;g;1;1;268;17.9;21.2;10;74;0;0;0;65;AOAA
Carne molida regular cocida;g;1;1;287;23;20.9;8.2;87;0;0;0;60;AOAA
Carne obscura de pollo con piel;g;1;1;237;16.7;18.3;5.3;81;0;0;0;73;AOAA
Cecina de res;g;1;1;198;14.7;14.9;4.7;86;0;0;0;1217;AOAA
Cerdo en canal;g;1;1;398;13.4;37.8;13.8;74;0;0;0;44;AOAA
Cheez whiz;cucharada;16.5;1;276;12;21;13.1;75;9.2;6.7;0.3;1638;AOAA
Chuleta de carnero;g;1;1;292;15.6;25;15;71;0;0;0;75;AOAA
Chuleta de cordero entera;pieza;229;1;208;18.3;14.4;6.9;66;0;0;0;59;AOAA
Cordero;g;0.92;1;282;16.7;23.4;10.2;73;0;0;0;59;AOAA
Costilla de carnero;g;1;1;292;15.6;25;15;71;0;0;0;75;AOAA
Costilla de res;g;1;1;383;15.4;35.2;15.3;74;0;0;0;52;AOAA
Espaldilla;g;1;1;275;16.2;22.9;8.2;72;0;0;0;63;AOAA
Espaldilla de cerdo;g;1;1;275;16.2;22.9;8.2;72;0;0;0;63;AOAA
Espinazo;g;1;1;275;16.2;22.9;8.2;72;0;0;0;63;AOAA
Espinazo de cerdo;g;1;1;275;16.2;22.9;8.2;72;0;0;0;63;AOAA
Fondue de queso;cucharada;13;1;228.7;14.3;13.4;8.7;45.4;3.8;0;0;132.4;AOAA
Hamburguesa de pollo;gramos;1;1;292;14.3;20;4;45;13.6;0;1.2;518;AOAA
Huevo de gansa;pieza;144;1;185.4;13.9;13.3;3.6;852.1;1.3;0.9;0;138.2;AOAA
Huevo de pato;pieza;70;1;185;12.8;13.8;3.7;884.3;1.5;0.9;0;145.7;AOAA
Huevo de pavo;pieza;79;1;170.9;13.7;11.9;3.6;932.9;1.1;0;0;151;AOAA
Huevo estrellado;pieza;46;1;196;13.6;15.3;4.3;457;0.9;0.8;0;204;AOAA
Huevo frito;pieza;46;1;196;13.6;15.3;4.3;457;0.9;0.8;0;204;AOAA
Huevo revuelto;g;1;1;167;11.1;12.2;3.7;352.5;2.2;1.7;0;280;AOAA
Jamón ahumado;rebanada delgada;21;1;302;15.4;26;7.1;89;0.6;0;0;1214.3;AOAA
Jamón americano;rebanada delgada;21;1;302;15.4;26;7.1;89;0.6;0;0;1242;AOAA
Jamón bajo en sodio;rebanada delgada;18;1;302;15.4;26;7.1;89;0.6;0;0;834.9;AOAA
Jamón cocido;rebanada delgada;21;1;302;15.4;26;7.1;89;0.6;0;0;1347.6;AOAA
Jamón del diablo;cucharada;115.625;1;247.1;15.3;21.2;7.1;70.6;0;0;0;823.5;AOAA
Jamón horneado;rebanada delgada;21;1;302;15.4;26;7.1;89;0.6;0;0;1242;AOAA
Jamón virginia;rebanada delgada;21;1;302;15.4;26;7.1;89;0.6;0;0;1347.6;AOAA
Jumiles;g;1;1;446;32.2;34.2;0;0;0;0;0;0;AOAA
Lengua de cerdo cocida;g;1;1;271;24.1;18.6;6.4;146;0;0;0;109;AOAA
Lengua de res cocida;g;1;1;284;19.3;22.3;8.1;132;0;0;0;65;AOAA
Maciza de cerdo;g;1;1;263;16.9;21.2;7.9;72;0;0;0;56;AOAA
Maciza de puerco;g;1;1;263;16.9;21.2;7.9;72;0;0;0;56;AOAA
Molida de carnero;g;1;1;253;18.2;19.4;12;71;0;0;0;80;AOAA
Molida popular de res;g;1;1;297;16;25.4;10.1;74;0;0;0;59;AOAA
Molleja de res;gramos;1;1;319;21.9;25;8.6;294;0;0;0;116;AOAA
Morcilla;rebanada gruesa;25;1;379;14.6;34.5;13.4;120;1.3;1.3;0;680;AOAA
Morcilla de arroz;rebanada gruesa;25;1;379;14.6;34.5;13.4;120;1.3;1.3;0;680;AOAA
Moronga;rebanada gruesa;25;1;379;14.6;34.5;13.4;120;1.3;1.3;0;680;AOAA
Mortadela;rebanada;21;1;313.3;16.7;25.3;9.3;58;3.3;0;0;1246.7;AOAA
Mozzarella fresco;g;1;1;300;22.2;22.4;13.2;78.6;2.2;1;0;627;AOAA
Nugget de pollo;pieza;17;1;296;15.3;19.8;4;43;14.1;0;2.1;557;AOAA
Nugget de queso;pieza;14.2;1;247.1;10.6;12.9;4.7;11.8;23.5;3.5;2.4;1247.1;AOAA
Nuggets de pescado;piezas;20;1;236.6;8;9.4;1;4;30;6;0;820;AOAA
Nuguet de soya;pieza;17;1;288.2;14.2;18.7;2.9;2.4;15.6;0.9;5.3;834.1;AOAA
Ostión ahumado;g;1;1;197.6;8.8;12.6;3.2;81.2;11.6;0;0;417.6;AOAA
Ostión empanizado;g;1;1;197.6;8.8;12.6;3.2;81.2;11.6;0;0;417.6;AOAA
Palitos de pescado congelados;pieza;28;1;275;15.7;12.5;3.2;114.3;23.9;0;0;589.3;AOAA
Paloma;g;1;1;294;18.5;23.8;8.4;95;0;0;0;54;AOAA
Palomitas de pollo;pieza;6.2;1;315;17.7;21.7;4;40;21.2;0;1;1140;AOAA
Pastel de pavo;rebanada;21;1;333.3;12.4;30.5;11;61.9;1.9;0;0;1290.5;AOAA
Pastel de pollo;g;1;1;264.3;10;21.8;7.1;71.4;7.1;3.6;0;1278.6;AOAA
Pastel de puerco;rebanada;21;1;333.3;12.4;30.5;11;61.9;1.9;0;0;1290.5;AOAA
Pastel de ternera;g;1;1;264.3;10;21.8;7.1;71.4;7.1;3.6;0;1278.6;AOAA
Pata de carnero cocida;g;1;1;109;21;21;0;0;0;0;0;0;AOAA
Peperami;pieza;25;1;550;21.5;49.5;21;135;5.5;0;0;1480;AOAA
Peperoni;rebanada;2;1;494;22.7;44;14.9;105;0;0;0;1653;AOAA
Pescuezo de pollo con piel sin hueso;pieza;50;1;297;14.1;26.2;7.3;99;0;0;0;64;AOAA
Pollo crispy;g;1;1;313.6;16.1;21.2;5.1;59.3;15.3;0;1.7;457.6;AOAA
Pollo rostizado;pieza;150;1;290;24.2;22.8;7;0;0;0;0;0;AOAA
Pulpa de res;g;1;1;348;27;25.8;10.3;104;0;0;0;65;AOAA
Queso amarillo;rebanada;21;1;239;16.7;14;8.8;36;11.6;7.7;0;1345;AOAA
Queso americano fundido;cucharadita;5.5;1;272.7;15.2;21.2;15.2;60.6;6.1;6.1;0;1697;AOAA
Queso añejo;g;1;1;378.6;21.8;30.4;19.3;107.1;4.6;0;0;1146.4;AOAA
Queso añejo rallado;cucharada;7.19;1;378.6;21.8;30.4;19.3;107.1;4.6;0;0;1146.4;AOAA
Queso asadero;rebanada;28;1;356;22.9;28.6;18.2;107.1;2.9;2.9;0;664.3;AOAA
Queso blue cheese;g;1;1;353;21.4;28.7;18.7;75;2.3;0.5;0;1414.3;AOAA
Queso brick;g;1;1;375;23.6;30;18.9;96.4;2.9;0;0;567.9;AOAA
Queso brie;g;1;1;339.3;21.1;27.9;17.5;100;0.4;0;0;635.7;AOAA
Queso camembert;g;1;1;303.6;20;24.6;15.4;71.4;0.4;0;0;853.6;AOAA
Queso canasto;g;1;1;291;28.2;33.2;0;85;1.3;0;0;0;AOAA
Queso cheddar;rebanada;28;1;402.7;24.9;33.1;21.1;105.3;1.2;1.8;0;620.4;AOAA
Queso cheddar rallado;taza;113;1;402.7;24.9;33.1;21.1;105.3;1.2;1.8;0;620.4;AOAA
Queso Cheezwiz;cucharada;16.5;1;276;12;21;13.1;75;9.2;6.7;0.3;1638;AOAA
Queso Cheshire;rebanada;28;1;385.7;23.2;30.7;19.6;103.6;4.6;ND;0;700;AOAA
Queso chihuahua;g;1;1;374;21.6;30;18.9;105;5.6;5.6;0;625;AOAA
Queso Chihuahua fresco;rebanada;28;1;374;21.6;30;18.9;105;5.6;5.6;0;625;AOAA
Queso chihuahua rallado;taza;113;1;374;21.6;30;18.9;105;5.6;5.6;0;625;AOAA
Queso colby estilo Cheddar;rebanada;28;1;392.9;23.9;32.1;20.4;96.4;2.5;0.4;0;603.6;AOAA
Queso cotija;g;1;1;291;28.2;33.2;0;85;1.3;0;0;0;AOAA
Queso crema light;cucharada;15;1;231;10.6;17.6;11.1;56;7;0.2;0;296;AOAA
Queso de cabra con ceniza;g;1;1;268;18.9;21.1;14.6;46.4;0.9;0.9;0;371.4;AOAA
Queso de cabra duro;g;1;1;457.1;31.1;36.1;25;107.1;2.1;0;0;350;AOAA
Queso de cabra semi suave;rebanada;28;1;364.3;21.4;30;20.7;78.6;2.5;2.5;0;514.3;AOAA
Queso de cabra suave;g;1;1;268;18.9;21.1;14.6;46.4;0.9;0.9;0;371.4;AOAA
Queso edam;g;1;1;357;25;27.8;17.6;89.3;1.4;1.4;0;965;AOAA
Queso feta;g;1;1;264;14.2;21.3;14.9;89.3;4.1;4.1;0;1128.6;AOAA
Queso fontina;g;1;1;389;25.6;31.1;19.2;116;1.6;1.6;0;800;AOAA
